Descriptor,False_negative_N,False_negative_median,False_negative_Q1,False_negative_Q3,True_positive_N,True_positive_median,True_positive_Q1,True_positive_Q3,Median_difference_FN_minus_TP,Cliffs_delta,Absolute_Cliffs_delta,Mann_Whitney_p,BH_adjusted_q
Kappa2,40,5.920321821036107,3.205445205396481,6.952344613953112,54,2.8499999999999996,1.9943517497104293,5.31736750348675,3.0703218210361074,0.3625,0.3625,0.002788710277544006,0.005962070248542358
NOCount,40,3.0,2.0,4.0,54,2.0,1.0,3.0,1.0,0.3625,0.3625,0.0021882802899873773,0.004845477784972049
NumHAcceptors,40,2.5,2.0,4.0,54,1.5,1.0,2.0,1.0,0.350462962962963,0.350462962962963,0.0029672910262139554,0.006132401454175508
TPSA,40,40.46,28.67,59.32000000000001,54,26.059999999999995,12.89,44.02,14.400000000000006,0.3472222222222222,0.3472222222222222,0.004169392364720113,0.008338784729440225
NumAromaticRings,40,0.0,0.0,2.0,54,0.0,0.0,0.0,0.0,0.3236111111111111,0.3236111111111111,0.0014961358244170873,0.004033061787559105
SlogP_VSA3,40,6.010936216954849,0.0,9.545818695439813,54,0.0,0.0,6.025013363128665,6.010936216954849,0.31666666666666665,0.31666666666666665,0.005430577802347281,0.010521744492047857
SMR_VSA5,40,19.262464868778025,8.776124359807751,28.969482607317264,54,6.923737199690624,0.0,20.18908221351283,12.338727669087401,0.31296296296296294,0.31296296296296294,0.009320903256786608,0.016996941232963816
EState_VSA1,40,6.103966387748303,0.0,12.106936950649265,54,0.0,0.0,7.375205093150568,6.103966387748303,0.28194444444444444,0.28194444444444444,0.014120262953113218,0.024318230641472767
Chi4v,40,2.0631125428659813,0.28172014388915817,3.516096052768738,54,0.5694504366837441,0.2172760055294704,1.3830261608077419,1.4936621061822373,0.28194444444444444,0.28194444444444444,0.01992135633586041,0.03250326560061435
Kappa3,40,3.334929942237828,2.5823478693334567,4.9702319631806775,54,2.360607748518829,1.4306422918272903,4.450685901119058,0.974322193718999,0.26805555555555555,0.26805555555555555,0.02709863072553571,0.043079874486749076
PEOE_VSA10,40,0.0,0.0,11.676250943800008,54,0.0,0.0,0.0,0.0,0.25833333333333336,0.25833333333333336,0.007662256833892031,0.014395755263675937
Chi3v,40,3.1501092308099508,1.0102000940976117,5.1090172058536645,54,1.451389611191657,0.699131124832961,2.6640111163320706,1.6987196196182937,0.2564814814814815,0.2564814814814815,0.03447438504632448,0.053435296821802945
SlogP_VSA11,40,0.0,0.0,5.782130959071772,54,0.0,0.0,0.0,0.0,0.25462962962962965,0.25462962962962965,0.000985007325944701,0.0031709557075546443
PEOE_VSA14,40,2.8127931595389937,0.0,6.000288983698491,54,0.0,0.0,0.0,2.8127931595389937,0.2439814814814815,0.2439814814814815,0.017157543432372302,0.02875047818397521
NumAtomStereoCenters,40,0.0,0.0,1.0,54,0.0,0.0,0.0,0.0,0.23194444444444445,0.23194444444444445,0.012404477194595875,0.021973645316141266
PEOE_VSA1,40,9.473725907600098,0.0,9.93580645890092,54,5.045252957893958,0.0,5.733667477162185,4.428472949706141,0.2273148148148148,0.2273148148148148,0.05578150099601231,0.08435251370128691
EState_VSA9,40,9.473725907600098,0.0,18.3081044389355,54,5.497779515950336,0.0,11.46733495432437,3.975946391649762,0.16203703703703703,0.16203703703703703,0.17242877007175006,0.2429678123738296
PEOE_VSA8,40,6.076020106833881,0.0,10.884328231532727,54,10.93540400329379,0.0,13.161741439039847,-4.859383896459909,-0.15694444444444444,0.15694444444444444,0.18883356486664216,0.2601706893718181
SMR_VSA6,40,6.079383807760619,0.0,13.120575591125322,54,6.669708288253721,0.0,14.09534396535438,-0.590324480493102,-0.14212962962962963,0.14212962962962963,0.2231735437181771,0.30044488914625567
NumAliphaticRings,40,0.0,0.0,1.0,54,0.0,0.0,0.0,0.0,0.14027777777777778,0.14027777777777778,0.12947402337587816,0.19112832022153442
SlogP_VSA2,40,17.467524629521222,10.858286205280455,27.021622540266996,54,12.929152401902993,6.102920752643359,26.264406474603987,4.538372227618229,0.13796296296296295,0.13796296296296295,0.2559231146048846,0.3173446621100569
SMR_VSA9,40,0.0,0.0,5.782130959071772,54,0.0,0.0,0.0,0.0,0.13055555555555556,0.13055555555555556,0.14754437134329354,0.2127383958903302
EState_VSA8,40,4.887570953256112,0.0,11.315798637398547,54,5.525228040584258,0.0,12.059743701823686,-0.6376570873281464,-0.11898148148148148,0.11898148148148148,0.3123160955150338,0.3796783906261196
VSA_EState9,40,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,-0.11851851851851852,0.11851851851851852,0.22791587529692725,0.30044488914625567
NHOHCount,40,0.0,0.0,1.0,54,0.0,0.0,1.0,0.0,-0.08888888888888889,0.08888888888888889,0.41205034022783205,0.47309483507639977
SlogP_VSA12,40,0.0,0.0,12.61929487543728,54,0.0,0.0,10.074126188738738,0.0,0.08333333333333333,0.08333333333333333,0.4373705071187467,0.49303584438840536
NumAliphaticHeterocycles,40,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.07777777777777778,0.07777777777777778,0.23260249482290762,0.30044488914625567
NumAliphaticCarbocycles,40,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.07685185185185185,0.07685185185185185,0.3207909797488535,0.3824815527774792
VSA_EState10,40,0.0,0.0,5.111527548000881,54,0.0,0.0,0.6735243055555555,0.0,0.07037037037037037,0.07037037037037037,0.48038894448821123,0.5318591885405196
NumSaturatedRings,40,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.05787037037037037,0.05787037037037037,0.4979560894247991,0.5416364481462727
PEOE_VSA4,40,0.0,0.0,4.3890917251297905,54,0.0,0.0,0.0,0.0,0.05694444444444444,0.05694444444444444,0.5361916795640602,0.5731704160857196
NumAmideBonds,40,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.05416666666666667,0.05416666666666667,0.38476042077072836,0.4500970959959464
PEOE_VSA5,40,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,-0.03935185185185185,0.03935185185185185,0.5650313195507519,0.5937617256296037
NumBridgeheadAtoms,40,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.025,0.025,0.2541286754165297,0.3173446621100569
NumSaturatedCarbocycles,40,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.02361111111111111,0.02361111111111111,0.7493710452476697,0.7743500800892587
SlogP_VSA4,40,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,-0.017592592592592594,0.017592592592592594,0.8460949803344694,0.8599653898481492
NumHDonors,40,0.0,0.0,1.0,54,0.0,0.0,1.0,0.0,-0.016203703703703703,0.016203703703703703,0.883058767619433,0.8830587676194331
